"UM" "X_coord" "Y_coord" "Banda1" "Banda2" "Banda3" "Banda4" "Banda5" "Banda7" "EDAD" "TCH"
"56" 90 319753.551724138 7360560.48275862 0.0920545613198621 0.0401959771365173 0.0304088861095518 0.139799108973483 0.0832129819384484 0.0215600853406552 "P+S1" 76.5842696629213
"57" 91 318408.510638298 7359754.25531915 0.0949624943304256 0.0427238327693617 0.0324364219744681 0.157889375345532 0.0959867822374468 0.0261570936129787 ">=2" 82.8471411901984
"58" 93 319255.102040816 7360156.2244898 0.0935433057655442 0.0414932334578573 0.0320600021435035 0.14038908689466 0.0915498704118709 0.0260369726089116 "P+S1" 91.9350399119185
"59" 94 318205.109717868 7360569.90595611 0.0925453592525393 0.0411624821676177 0.0305591438129154 0.152307240824984 0.085426165929185 0.0220292304620063 "P+S1" 109.90099009901
"60" 95 326994.705882353 7353950.26737968 0.0881275612301069 0.0369527180183422 0.0275057435242246 0.144126630124492 0.0798110894972192 0.020677953480107 "P+S1" 98.0720261913423
"61" 97 320870.568561873 7352840.23411371 0.0878945839225258 0.0367954156153013 0.0267533913289965 0.138755739321155 0.0778350589362042 0.0200435407961872 "P+S1" 94.9423370848965
"62" 98 320886.395348837 7351917.73255814 0.0871310290222096 0.036515102383663 0.0271812954751549 0.132457391005736 0.0791926275241088 0.0204435926783721 ">=2" 83.9332460732984
"63" 100 320315.726141079 7360388.00829876 0.0915564554293776 0.0396456112368051 0.0298575021091703 0.14173897031249 0.0852858158932781 0.022475165636805 "P+S1" 86.1255998330899
"64" 101 316491.958762887 7359834.22680412 0.0862213892402062 0.0351883618876289 0.0241617762035051 0.142929545229588 0.0732743212401031 0.0185082236327835 "P+S1" 111.269517990496
"65" 102 317256.744186047 7360299.86046512 0.0881954312998922 0.0368509735144653 0.0275504289234883 0.136593310974512 0.0737773165284499 0.0189832840145426 "P+S1" 99.8134545878512
"66" 106 318326.25 7359313.75 0.0902415861828125 0.0382539861624999 0.0294105990118125 0.135884452565063 0.0842762267214374 0.023196680384375 "P+S1" 73.1945348080677
"67" 107 316111.719038817 7358519.85212569 0.0958922811682622 0.0434020533247873 0.0339424363838634 0.164566384474344 0.0979041421513308 0.0260613575090202 "P+S1" 90.0225797346881
"68" 108 317641.034482759 7359047.75862069 0.0955286427237932 0.0431888823694829 0.0341788877628161 0.151248656385172 0.0982472792104023 0.0264440070776437 ">=2" 58.3215297450425
"69" 109 329683.45890411 7355680.10273973 0.088062280710274 0.0377057990558563 0.0290968116805822 0.134590954099692 0.0776540804652397 0.0215845561891096 ">=2" 127.491654744874
"70" 111 319998 7359580 0.0909401607503334 0.0398543433112667 0.0308679267658 0.121639099816467 0.0830282098548666 0.0237094920388001 ">=2" 63.0512514898689
"71" 112 321403.276595745 7360429.06382979 0.0888880240770639 0.038261501319532 0.0284906887657448 0.136771240798894 0.0793487909618298 0.020314201688 ">=2" 72.6715397311955
"72" 113 321367.388059701 7363594.96268657 0.0904409392212314 0.0389645111201867 0.0299204040221643 0.137817064412015 0.0849191948987314 0.0229225454364552 "P+S1" 80.1348747591522
"73" 115 335515.161290323 7365477.70967742 0.0857992177514194 0.0358481754100646 0.0255311722800323 0.140368601583936 0.0767043195663871 0.0195016673933226 ">=2" 99.7036488238563
"74" 120 319187.214765101 7364408.48993289 0.0939455290129195 0.0408381516827518 0.0316368982510739 0.156914406225537 0.0961439975067114 0.0256315000289933 ">=2" 72.9004506349857
"75" 121 326764.122137405 7369246.41221374 0.0858809119286259 0.0351829260932061 0.0242859756751909 0.140062082929084 0.0744566880448855 0.0183901185980153 ">=2" 102.493487160402
"76" 123 331590.215053763 7372251.72043011 0.0902592628699284 0.0399421188711112 0.0319522918554123 0.131431249815233 0.0911370190822581 0.0251928238773835 "P+S1" 45.0046339202966
"77" 125 337439.230769231 7371810.61538462 0.0901802015594872 0.0396235643307693 0.0324533224501027 0.13412476380718 0.0882481027092821 0.0242418931195385 "P+S1" 69.8939787957592
"78" 126 308798.13253012 7370986.23493976 0.0883106622512651 0.0396143501322291 0.0324523843365062 0.139862936304759 0.0947854307940964 0.0264567612016265 ">=2" 58.6519692272362
