"UM" "X_coord" "Y_coord" "Banda1" "Banda2" "Banda3" "Banda4" "Banda5" "Banda7" "EDAD" "TCH"
"1" 6 327703.181818182 7372820.90909091 0.0897549120975253 0.0390340132905556 0.0319512688635355 0.129122282143182 0.0927465793604545 0.026528212639293 ">=2" 45.5679045811873
"2" 9 328356.483516484 7365764.83516483 0.0940520705414103 0.0426443884271245 0.032623530960348 0.15487108074022 0.0961413470962271 0.0253513176323808 "P+S1" 85.3037416417698
"3" 10 330259.736842105 7366056.05263158 0.0917818103178947 0.0405006369481579 0.0317977075723684 0.154299682302368 0.0902946011005263 0.0229846148913158 "P+S1" 105.333333333333
"4" 11 326650.206185567 7367992.21649485 0.0878289827343299 0.036450701564897 0.0265785625484021 0.144623453623454 0.0790789216825772 0.020353180523299 "P+S1" 111.172279792746
"5" 12 327428.413597734 7366752.63456091 0.0863844195715581 0.0359541220282154 0.025856203980085 0.135913432405496 0.0741163084004533 0.0183257542761757 ">=2" 99.9603227086364
"6" 13 327971.294117647 7366300 0.0873679233510981 0.0365751373285491 0.0275870801949413 0.135977308511961 0.0773292069629412 0.0196332644369804 ">=2" 104.917380051762
"7" 14 329608.981132075 7365929.35849057 0.0928626615769811 0.0414748576025662 0.0311514838911322 0.154265802593924 0.0922070849051321 0.0236557817631698 ">=2" 103.246613631477
"8" 15 336537.532467532 7372601.81818182 0.0906262854142857 0.0397573897218615 0.0312490356432901 0.137272723278225 0.089638628805671 0.0246344469348918 "P+S1" 67.6335439402642
"9" 16 331235.652173913 7373461.30434783 0.0865610152249275 0.0365387354111594 0.0293190260110145 0.138464058224493 0.0843769010631884 0.0223723286368116 ">=2" 76.2273901808785
"10" 17 337770 7372776.47058824 0.0920815202679412 0.0421239298711765 0.0351366382105882 0.131573571769412 0.0955289977002941 0.0275029452704412 ">=2" 71.4550509731233
"11" 18 328335.099337748 7369927.61589404 0.0864013050053311 0.0357646924746359 0.0256803414826491 0.136892367870728 0.0767258715543377 0.0196366618462914 "P+S1" 90.7736665064873
"12" 19 328381.142857143 7371111.14285714 0.0909361742071905 0.040033752525762 0.0318706252940954 0.132210298025048 0.0870689080581905 0.0246543815199524 "P+S1" 61.9532324621733
